order_item_id,order_id,product_id,quantity,unit_price
1,1,20,3,2.3
2,2,1,2,12.99
3,2,4,1,6.25
4,2,12,2,1.5
5,2,10,5,5.6
6,3,3,4,18.75
7,4,18,2,6.99
8,5,16,2,11.2
9,5,18,3,6.99
10,6,7,4,7.8
11,6,18,3,6.99
12,6,20,4,2.3
13,6,10,5,5.6
14,7,4,3,6.25
15,7,8,1,9.2
16,7,19,5,4.75
17,7,3,5,18.75
18,8,19,1,4.75
19,8,8,1,9.2
20,9,8,1,9.2
21,10,11,1,3.95
22,11,9,2,2.15
23,11,16,5,11.2
24,12,19,4,4.75
25,12,20,2,2.3
26,13,14,4,2.4
27,13,7,3,7.8
28,13,4,4,6.25
29,13,18,4,6.99
30,14,2,3,9.5
31,14,4,1,6.25
32,14,20,2,2.3
33,14,13,2,1.9
34,15,18,2,6.99
35,15,15,4,1.3
36,16,9,2,2.15
37,16,15,1,1.3
38,17,18,1,6.99
39,17,4,2,6.25
40,17,2,2,9.5
41,17,1,4,12.99
42,18,16,2,11.2
43,18,7,4,7.8
44,18,13,1,1.9
45,18,2,4,9.5
46,19,15,5,1.3
47,19,10,4,5.6
48,19,14,2,2.4
49,20,10,1,5.6
50,20,7,5,7.8
51,21,11,1,3.95
52,22,19,4,4.75
53,23,2,1,9.5
54,23,17,2,2.85
55,24,20,1,2.3
56,25,13,5,1.9
57,25,4,2,6.25
58,26,20,1,2.3
59,27,19,3,4.75
60,27,20,2,2.3
61,27,17,3,2.85
62,27,11,2,3.95
63,28,13,4,1.9
64,28,5,3,8.4
65,28,10,1,5.6
66,29,15,5,1.3
67,30,3,5,18.75
68,31,17,2,2.85
69,31,9,3,2.15
70,32,8,3,9.2
71,33,6,3,3.1
72,33,15,5,1.3
73,33,18,5,6.99
74,34,18,3,6.99
75,35,5,3,8.4
76,36,4,5,6.25
77,37,9,5,2.15
78,37,10,2,5.6
79,38,7,4,7.8
80,38,9,3,2.15
81,38,17,1,2.85
82,39,14,3,2.4
83,40,1,3,12.99
84,41,9,4,2.15
85,41,6,5,3.1
86,42,18,2,6.99
87,42,1,5,12.99
88,42,4,1,6.25
89,42,3,3,18.75
90,43,14,1,2.4
91,43,5,3,8.4
92,44,2,2,9.5
93,44,12,1,1.5
94,44,7,3,7.8
95,45,20,2,2.3
96,45,5,4,8.4
97,45,8,1,9.2
98,45,6,2,3.1
99,46,14,2,2.4
100,46,8,1,9.2
101,46,9,4,2.15
102,47,16,2,11.2
103,48,15,3,1.3
104,48,12,2,1.5
105,49,1,4,12.99
106,49,7,3,7.8
107,50,3,5,18.75
108,50,9,4,2.15
109,50,12,5,1.5
110,51,1,2,12.99
111,51,4,5,6.25
112,51,9,3,2.15
113,52,4,5,6.25
114,53,12,1,1.5
115,53,11,4,3.95
116,53,14,5,2.4
117,53,17,2,2.85
118,54,2,5,9.5
119,54,14,5,2.4
120,54,1,2,12.99
121,55,14,5,2.4
122,55,3,3,18.75
123,55,11,1,3.95
124,56,17,3,2.85
125,56,10,4,5.6
126,56,14,3,2.4
127,57,7,4,7.8
128,57,14,2,2.4
129,58,13,3,1.9
130,58,18,3,6.99
131,58,1,2,12.99
132,59,19,4,4.75
133,59,11,2,3.95
134,59,15,5,1.3
135,59,18,4,6.99
136,60,3,5,18.75
137,60,10,5,5.6
