order_id,customer_id,order_date,status
1,1,2025-05-04,Completed
2,2,2025-12-08,Pending
3,3,2025-07-16,Completed
4,4,2025-10-04,Pending
5,5,2025-11-15,Completed
6,5,2025-08-22,Completed
7,6,2025-12-04,Completed
8,6,2025-07-26,Cancelled
9,6,2025-05-23,Completed
10,7,2025-10-01,Completed
11,7,2025-11-25,Completed
12,7,2025-07-20,Pending
13,8,2025-12-23,Completed
14,8,2025-10-04,Completed
15,8,2025-08-21,Completed
16,9,2025-07-26,Pending
17,9,2025-09-23,Completed
18,10,2025-06-15,Completed
19,11,2025-08-20,Cancelled
20,11,2025-11-15,Completed
21,11,2025-06-24,Pending
22,11,2025-11-26,Completed
23,12,2025-08-04,Completed
24,12,2025-11-26,Completed
25,13,2025-06-24,Cancelled
26,14,2025-12-17,Completed
27,14,2025-10-07,Pending
28,14,2025-12-04,Completed
29,14,2025-10-05,Completed
30,15,2025-11-21,Completed
31,15,2025-11-01,Completed
32,16,2025-10-11,Pending
33,16,2025-10-15,Pending
34,16,2025-10-29,Completed
35,16,2025-12-05,Completed
36,17,2025-12-11,Completed
37,17,2025-09-12,Completed
38,17,2025-09-11,Pending
39,18,2025-10-23,Completed
40,19,2025-12-04,Completed
41,19,2025-11-16,Pending
42,20,2025-06-12,Completed
43,20,2025-09-19,Completed
44,20,2025-09-09,Pending
45,20,2025-12-07,Completed
46,21,2025-11-09,Completed
47,21,2025-11-13,Cancelled
48,22,2025-08-06,Completed
49,22,2025-09-14,Completed
50,22,2025-05-27,Completed
51,23,2025-10-05,Completed
52,23,2025-08-31,Cancelled
53,24,2025-08-13,Completed
54,24,2025-08-15,Completed
55,25,2025-12-11,Pending
56,25,2025-11-12,Completed
57,25,2025-12-28,Completed
58,9,2025-12-01,Completed
59,21,2025-12-03,Pending
60,12,2025-12-05,Completed
